iter	Passed	Remaining
581	6751	4848
582	6763	4837
583	6775	4826
584	6787	4815
585	6799	4803
586	6812	4793
587	6824	4781
588	6838	4771
589	6851	4761
590	6864	4750
591	6877	4739
592	6889	4728
593	6901	4717
594	6914	4706
595	6926	4694
596	6939	4684
597	6946	4669
598	6959	4658
599	6970	4647
600	6982	4635
601	6994	4624
602	7007	4613
603	7018	4601
604	7030	4589
605	7041	4577
606	7053	4566
607	7065	4555
608	7077	4543
609	7089	4532
610	7100	4520
611	7113	4510
612	7126	4498
613	7138	4487
614	7150	4476
615	7162	4465
616	7174	4453
617	7185	4441
618	7197	4430
619	7208	4418
620	7219	4406
621	7229	4393
622	7235	4378
623	7247	4366
624	7259	4355
625	7266	4341
626	7276	4328
627	7286	4316
628	7297	4304
629	7308	4292
630	7320	4280
631	7331	4269
632	7343	4257
633	7355	4246
634	7368	4235
635	7380	4224
636	7393	4213
637	7405	4201
638	7417	4190
639	7428	4178
640	7439	4166
641	7451	4155
642	7462	4143
643	7473	4131
644	7486	4120
645	7497	4108
646	7509	4097
647	7520	4085
648	7532	4073
649	7544	4062
650	7555	4050
651	7566	4038
652	7575	4025
653	7586	4013
654	7598	4002
655	7609	3990
656	7621	3979
657	7635	3968
658	7647	3957
659	7658	3945
660	7671	3934
661	7684	3923
662	7696	3912
663	7707	3900
664	7718	3888
665	7729	3876
666	7741	3864
667	7753	3853
668	7764	3841
669	7775	3829
670	7787	3818
671	7797	3805
672	7809	3794
673	7820	3782
674	7830	3770
675	7842	3758
676	7854	3747
677	7865	3735
678	7877	3724
679	7887	3711
680	7900	3701
681	7913	3689
682	7925	3678
683	7936	3666
684	7949	3655
685	7959	3643
686	7971	3631
687	7981	3619
688	7994	3608
689	8005	3596
690	8017	3585
691	8029	3573
692	8040	3561
693	8052	3550
694	8063	3538
695	8075	3527
696	8089	3516
697	8101	3505
698	8112	3493
699	8123	3481
700	8135	3470
701	8147	3458
702	8157	3446
703	8168	3434
704	8180	3423
705	8193	3411
706	8205	3400
707	8217	3389
708	8228	3377
709	8240	3366
710	8253	3354
711	8266	3343
712	8279	3332
713	8290	3320
714	8302	3309
715	8313	3297
716	8325	3286
717	8337	3274
718	8349	3263
719	8362	3252
720	8373	3240
